result,total_moves,opening,winner,white_skill,black_skill,white_castled,black_castled,white_sacrifices,black_sacrifices,w_knight_to_bishop,b_knight_to_bishop,white_piece_activity,black_piece_activity,eval_after_move_15
0-1,71,Bird's Opening,black,8,8,False,True,16,30,1.2391304347826089,0.8888888888888888,28.85,35.30714285714286,-1.25
0-1,75,Larsen's Opening,black,13,13,True,True,28,46,2.111111111111111,0.4473684210526316,27.52027027027027,33.58783783783784,-0.94
1-0,34,Benko's Opening,white,13,13,True,True,14,8,1.909090909090909,0.853658536585366,35.55223880597015,33.25373134328358,0.37
1-0,98,Benko's Opening,white,15,15,True,True,22,14,1.2608695652173914,1.2187499999999998,29.646153846153847,19.635897435897437,0.06
1-0,34,Dunst Opening,white,6,6,False,True,2,14,0.6176470588235294,2.3000000000000003,35.298507462686565,34.97014925373134,-0.91
0-1,39,Bird's Opening,black,10,10,True,True,8,6,0.851063829787234,0.9499999999999998,34.0921052631579,37.921052631578945,-0.69
0-1,111,Vienna Game,black,14,14,True,True,16,22,0.2285714285714286,0.456140350877193,21.272727272727273,28.29090909090909,-2.37
0-1,63,Larsen's Opening,black,11,11,True,False,20,32,1.9411764705882353,1.542857142857143,23.548387096774192,30.580645161290324,-5.11
0-1,81,Queen's Pawn Opening,black,14,14,True,True,16,32,2.6562500000000004,0.5681818181818182,25.975,32.45625,-1.12
1-0,81,Queen's Pawn Opening,white,16,16,True,False,14,18,0.37681159420289856,1.026315789473684,32.63354037267081,22.472049689440993,1.21
1-0,65,"English, King's Indian Variation",white,18,18,True,True,12,4,0.8615384615384616,1.0961538461538463,32.1937984496124,25.147286821705425,0.2
1/2-1/2,113,King' s Pawn Opening,draw,19,19,True,True,30,32,0.9024390243902439,3.0000000000000004,25.200892857142858,19.276785714285715,0.95
1-0,68,Bird's Opening,white,14,14,False,False,18,8,1.9615384615384617,1.3076923076923077,30.244444444444444,24.74074074074074,-1.5
1-0,59,Benko's Opening,white,7,7,True,True,18,12,1.3333333333333333,1.4054054054054055,34.675213675213676,30.17948717948718,-0.53
0-1,26,Reti Opening,black,15,15,False,True,4,16,1.0416666666666667,0.7931034482758621,34.46,33.92,0.77
0-1,82,English Opening,black,17,17,True,True,10,6,3.0,0.24050632911392406,27.049382716049383,32.401234567901234,-0.31
0-1,50,Larsen's Opening,black,8,8,True,True,6,6,0.7115384615384615,0.8596491228070176,30.6734693877551,34.224489795918366,-0.8
1/2-1/2,69,Benko's Opening,draw,11,11,False,False,10,16,0.5945945945945946,1.6363636363636365,24.416058394160583,27.32846715328467,-0.88
0-1,50,Reti Opening,black,20,20,True,True,14,20,0.4318181818181819,1.2,28.79591836734694,35.275510204081634,0.44
1-0,39,Benko's Opening,white,5,5,True,True,16,14,1.7333333333333334,0.6428571428571429,36.57142857142857,32.857142857142854,0.1
0-1,31,"English, Symmetrical Variation",black,9,9,False,True,6,8,1.2121212121212122,0.9062499999999999,30.5,36.65,-1.84
