result,total_moves,opening,winner,white_skill,black_skill,white_castled,black_castled,white_sacrifices,black_sacrifices,w_knight_to_bishop,b_knight_to_bishop,w_center_control,b_center_control,white_piece_activity,black_piece_activity,eval_after_move_15
1-0,61,Larsen's Opening,white,11,11,True,True,20,2,1.2682926829268293,0.64,2.7520661157024793,2.8677685950413223,35.05785123966942,35.768595041322314,0.1
0-1,34,King' s Pawn Opening,black,11,11,False,True,14,14,1.0,0.6818181818181818,2.9696969696969697,2.9545454545454546,34.84848484848485,37.166666666666664,-0.03
0-1,58,English Opening,black,15,15,True,True,22,12,0.5283018867924528,0.5306122448979592,2.956140350877193,1.7105263157894737,35.49122807017544,30.36842105263158,0.2
1-0,40,Bird's Opening,white,19,19,True,False,34,14,1.2413793103448274,0.8125,2.0126582278481013,2.3164556962025316,35.620253164556964,28.10126582278481,-0.5
1/2-1/2,47,Benko's Opening,draw,17,17,True,True,10,8,0.7037037037037037,1.722222222222222,2.78494623655914,2.806451612903226,34.086021505376344,35.1505376344086,-0.13
0-1,67,English Opening,black,20,20,True,True,40,26,1.0,0.9677419354838709,2.257575757575758,3.0303030303030303,27.825757575757574,36.15909090909091,0.5
1-0,82,King' s Pawn Opening,white,5,5,True,False,14,18,1.125,1.1538461538461537,2.4049079754601226,1.5766871165644172,30.736196319018404,22.901840490797547,-0.17
0-1,40,Reti Opening,black,16,16,True,True,12,22,0.738095238095238,1.368421052631579,2.858974358974359,2.730769230769231,33.73076923076923,34.47435897435897,0.65
1-0,57,"English, Symmetrical Variation",white,5,5,True,True,10,6,0.40425531914893614,1.3529411764705883,2.601769911504425,2.1946902654867255,29.672566371681416,25.115044247787612,1.09
0-1,97,Reti Opening,black,7,7,True,True,8,40,0.746268656716418,0.7875,2.0416666666666665,2.3177083333333335,24.34375,33.140625,-0.47
1-0,47,Benko's Opening,white,16,16,True,True,16,6,0.5454545454545455,1.53125,2.978494623655914,2.903225806451613,36.204301075268816,32.075268817204304,1.06
0-1,27,Dunst Opening,black,5,5,False,False,18,16,0.6666666666666666,0.84375,2.1346153846153846,2.326923076923077,32.03846153846154,31.903846153846153,4.27
0-1,92,Bird's Opening,black,14,14,True,True,10,12,0.2602739726027397,1.0869565217391306,1.8461538461538463,2.9175824175824174,20.692307692307693,27.076923076923077,-0.38
1-0,32,Bird's Opening,white,14,14,True,True,12,0,1.0,1.0,3.4761904761904763,3.0793650793650795,36.095238095238095,34.23809523809524,-0.48
1-0,33,Queen's Pawn Opening,white,11,11,True,False,24,14,2.0,0.7894736842105262,2.8923076923076922,2.2615384615384615,35.6,29.50769230769231,2.6
0-1,62,Queen's Pawn Opening,black,12,12,True,True,4,12,0.5957446808510639,2.6538461538461537,2.2950819672131146,3.3360655737704916,30.065573770491802,37.74590163934426,0.1
1-0,39,Queen's Pawn Opening,white,11,11,True,False,10,8,0.36538461538461536,1.3666666666666667,2.883116883116883,2.4415584415584415,34.09090909090909,32.54545454545455,0.04
1-0,69,Queen's Pawn Opening,white,19,19,True,True,16,4,0.7636363636363636,1.1621621621621623,2.9051094890510947,2.204379562043796,35.277372262773724,29.124087591240876,0.38
1-0,46,Bird's Opening,white,5,5,True,True,36,14,2.1904761904761907,1.5483870967741935,3.010989010989011,2.4395604395604398,33.967032967032964,28.736263736263737,0.51
1-0,100,Bird's Opening,white,14,14,False,True,26,18,0.4615384615384615,1.864864864864865,2.135678391959799,2.351758793969849,25.718592964824122,22.90452261306533,-0.92
1/2-1/2,155,Queen's Pawn Opening,draw,13,13,False,False,12,14,0.37837837837837834,0.7428571428571428,2.1915584415584415,1.0194805194805194,26.227272727272727,13.405844155844155,-0.65
1-0,54,Benko's Opening,white,7,7,False,False,16,8,2.1666666666666665,0.8666666666666666,3.102803738317757,2.149532710280374,36.61682242990654,27.7196261682243,0.23
1-0,48,Queen's Pawn Opening,white,20,20,True,False,6,8,0.6181818181818182,0.5483870967741935,2.9263157894736844,2.7473684210526317,36.36842105263158,32.94736842105263,2.35
0-1,38,Bird's Opening,black,10,10,False,True,12,24,1.1818181818181819,0.7777777777777779,2.0135135135135136,3.5405405405405403,30.54054054054054,37.58108108108108,-0.56
0-1,25,Benko's Opening,black,17,17,True,True,0,12,1.3333333333333333,0.9333333333333333,2.7916666666666665,3.2916666666666665,32.583333333333336,37.979166666666664,-0.62
1-0,43,Bird's Opening,white,10,10,False,True,6,10,1.8125,1.8125,3.3411764705882354,3.6705882352941175,36.67058823529412,35.54117647058823,0.54
1-0,87,Queen's Pawn Opening,white,18,18,False,True,24,14,1.7446808510638299,0.23611111111111108,2.346820809248555,2.531791907514451,30.017341040462426,24.739884393063583,0.78
1-0,74,Reti Opening,white,11,11,True,True,42,18,0.2857142857142857,0.875,2.6054421768707483,3.2244897959183674,36.68707482993197,31.17687074829932,0.49
1-0,49,Queen's Pawn Opening,white,20,20,False,True,32,10,0.6818181818181819,0.688888888888889,2.88659793814433,2.948453608247423,36.134020618556704,30.278350515463917,0.4
0-1,42,Reti Opening,black,13,13,True,True,10,20,1.0,1.3333333333333333,2.5365853658536586,2.7439024390243905,30.865853658536587,35.048780487804876,-1.36
0-1,43,Bird's Opening,black,5,5,True,True,10,20,0.3333333333333333,1.0740740740740742,2.2857142857142856,2.8095238095238093,31.952380952380953,35.57142857142857,-1.36
1-0,38,Bird's Opening,white,15,15,False,False,8,20,0.5365853658536586,1.0454545454545454,2.8933333333333335,2.1866666666666665,31.16,27.773333333333333,0.16
0-1,79,Queen's Pawn Opening,black,8,8,True,True,36,20,2.6874999999999996,0.6617647058823529,2.4935897435897436,2.3461538461538463,32.82051282051282,32.782051282051285,-1.53
0-1,78,Bird's Opening,black,15,15,True,True,14,24,0.6176470588235294,0.5357142857142857,2.051948051948052,2.1493506493506493,25.058441558441558,29.532467532467532,0.63
0-1,71,King' s Pawn Opening,black,10,10,True,True,22,10,2.3125,1.8372093023255816,2.2785714285714285,2.5714285714285716,30.428571428571427,28.65714285714286,-1.12
1-0,68,Larsen's Opening,white,12,12,True,False,30,20,0.653061224489796,2.1578947368421053,2.8074074074074074,2.2888888888888888,32.05925925925926,25.82962962962963,-0.12
1-0,56,Queen's Pawn Opening,white,11,11,True,True,22,14,0.9056603773584906,1.0789473684210527,3.225225225225225,2.2612612612612613,36.5945945945946,29.216216216216218,2.05
1-0,45,"English, Agincourt Defense",white,19,19,True,True,18,18,1.7599999999999998,0.675,2.550561797752809,2.258426966292135,32.831460674157306,29.921348314606742,-0.08
1-0,73,Benko's Opening,white,12,12,True,True,18,12,0.9333333333333332,0.6,2.4413793103448276,2.0620689655172413,31.875862068965517,24.79310344827586,-0.17
1-0,29,Larsen's Opening,white,15,15,True,True,12,2,1.0714285714285714,1.0,3.175438596491228,3.087719298245614,34.719298245614034,32.421052631578945,-0.5
1-0,42,King' s Pawn Opening,white,14,14,True,True,2,2,0.7499999999999999,0.8888888888888887,2.927710843373494,3.180722891566265,35.95180722891566,35.95180722891566,2.78
1-0,55,Larsen's Opening,white,9,9,False,False,20,12,1.0,2.8666666666666663,3.073394495412844,2.2844036697247705,35.87155963302752,27.211009174311926,-0.61
1-0,52,Larsen's Opening,white,7,7,True,True,20,10,0.3913043478260869,2.2,2.941747572815534,2.174757281553398,34.16504854368932,27.9126213592233,0.89
0-1,85,Benko's Opening,black,15,15,True,True,26,36,0.8412698412698413,1.0285714285714287,2.4583333333333335,2.8333333333333335,28.839285714285715,34.214285714285715,0.46
0-1,33,Reti Opening,black,15,15,True,True,0,18,0.8536585365853658,0.7954545454545454,2.1875,2.75,33.09375,36.0,-2.15
0-1,38,King' s Pawn Opening,black,13,13,False,True,18,28,1.2272727272727273,0.5365853658536586,2.7567567567567566,2.418918918918919,31.175675675675677,34.82432432432432,0.06
1-0,86,Reti Opening,white,11,11,False,True,6,8,0.8414634146341463,1.7435897435897434,2.52046783625731,2.1052631578947367,31.023391812865498,21.450292397660817,0.68
1-0,71,Reti Opening,white,15,15,True,True,16,16,0.5344827586206896,0.7878787878787878,2.574468085106383,1.7304964539007093,28.148936170212767,20.19858156028369,-0.75
0-1,37,Bird's Opening,black,7,7,True,False,12,4,0.43478260869565216,0.6458333333333334,2.75,2.5694444444444446,34.416666666666664,33.763888888888886,-0.71
0-1,23,Benko's Opening,black,10,10,True,True,10,2,2.7272727272727275,2.25,3.25,2.6818181818181817,32.11363636363637,32.97727272727273,-0.57
