result,total_moves,opening,winner,white_skill,black_skill,white_castled,black_castled,opposite_side_castle,white_sacrifices,black_sacrifices,w_knight_to_bishop,b_knight_to_bishop,w_center_control,b_center_control,white_piece_activity,black_piece_activity,eval_after_move_15
1-0,57,Reti Opening,white,18,18,True,True,False,16,14,0.7627118644067796,0.95,3.398230088495575,2.336283185840708,35.3716814159292,30.035398230088497,0.2
1/2-1/2,82,Alekhine's Defense,draw,19,19,True,True,False,32,8,1.5106382978723405,0.8260869565217391,2.092592592592593,2.432098765432099,30.666666666666668,30.290123456790123,1.11
1-0,26,"English, Mikenas-Carls Variation",white,20,20,False,False,False,4,2,0.2352941176470588,0.2413793103448276,2.9607843137254903,1.8235294117647056,34.05882352941177,29.823529411764707,0.5
0-1,71,Benko's Opening,black,16,16,True,True,False,14,20,0.4912280701754385,0.9016393442622952,2.307142857142857,2.5785714285714287,26.27857142857143,31.02857142857143,0.1
1/2-1/2,131,Larsen's Opening,draw,14,14,True,False,False,10,18,4.666666666666666,0.1351351351351351,1.946360153256705,1.8160919540229885,17.272030651340994,26.019157088122604,0.19
1-0,66,English Opening,white,10,10,True,True,False,24,8,1.0,1.1,2.83206106870229,1.954198473282443,35.61068702290076,29.96946564885496,0.99
0-1,59,Benko's Opening,black,11,11,True,True,True,10,32,1.4482758620689653,1.3333333333333333,1.862068965517241,2.7413793103448274,21.73275862068965,31.53448275862069,-0.37
0-1,57,Reti Opening,black,20,20,True,True,False,6,46,0.2666666666666666,0.9318181818181818,1.8214285714285716,2.7767857142857144,27.955357142857142,34.026785714285715,0.03
0-1,67,"English, Symmetrical Variation",black,6,6,True,True,True,8,26,1.1111111111111112,0.9454545454545455,2.946969696969697,3.25,29.689393939393938,36.00757575757576,0.17
0-1,119,Queen's Pawn Opening,black,20,20,True,True,False,4,30,2.0,0.5882352941176471,1.7796610169491525,2.01271186440678,17.6864406779661,25.5,0.38
1-0,49,Bird's Opening,white,6,6,True,True,False,12,18,1.4615384615384617,1.423076923076923,3.1237113402061856,3.0721649484536084,33.41237113402062,32.2680412371134,-0.41
0-1,65,Queen's Pawn Opening,black,19,19,True,True,False,8,38,1.2765957446808511,1.0754716981132075,2.3515625,2.421875,29.453125,32.7265625,1.36
1-0,53,Dunst Opening,white,14,14,True,True,False,18,6,1.0857142857142856,1.0571428571428572,2.8190476190476192,3.1619047619047618,34.82857142857143,37.34285714285714,-0.33
0-1,68,Benko's Opening,black,15,15,True,True,False,6,28,1.3777777777777778,0.6181818181818182,2.5074626865671643,3.373134328358209,27.55223880597015,38.14179104477612,-1.21
1/2-1/2,167,Bird's Opening,draw,20,20,True,True,True,20,16,0.2137404580152671,0.6428571428571429,2.324324324324324,1.6276276276276276,22.033033033033032,22.66966966966967,-0.97
1/2-1/2,117,Queen's Pawn Opening,draw,18,18,False,True,False,8,10,2.931034482758621,3.333333333333333,1.2145922746781117,1.497854077253219,19.583690987124463,18.600858369098717,-0.23
1-0,90,Alekhine's Defense,white,17,17,True,False,False,12,8,1.096153846153846,0.46875,2.4245810055865924,1.2122905027932962,29.81564245810056,21.10055865921788,1.02
1-0,40,Dunst Opening,white,19,19,True,True,False,20,16,1.0,0.4358974358974359,3.670886075949367,2.2278481012658227,39.34177215189873,31.72151898734177,-0.12
1-0,71,Larsen's Opening,white,20,20,True,False,False,26,12,1.7058823529411764,2.1666666666666665,1.9858156028368796,2.198581560283688,27.0,23.411347517730498,-0.81
1-0,56,Larsen's Opening,white,12,12,True,True,True,26,8,0.8064516129032258,1.1,3.036036036036036,1.4774774774774777,37.1981981981982,22.82882882882883,0.83
0-1,55,Larsen's Opening,black,13,13,True,True,False,6,24,0.6590909090909091,1.892857142857143,2.5,2.462962962962963,26.546296296296298,32.75925925925926,-0.32
1-0,92,Queen's Pawn Opening,white,9,9,True,False,True,12,18,2.0,1.5555555555555556,1.9453551912568303,2.092896174863388,29.9344262295082,23.530054644808743,0.36
1-0,30,Dunst Opening,white,12,12,True,True,False,8,10,0.4473684210526316,0.6666666666666667,3.1864406779661016,2.610169491525424,36.32203389830509,34.91525423728814,0.19
1/2-1/2,60,Benko's Opening,draw,20,20,True,True,False,26,18,0.6140350877192983,1.0857142857142856,3.135593220338983,2.5254237288135597,33.74576271186441,33.96610169491525,0.37
1-0,62,Dunst Opening,white,20,20,True,True,False,12,34,4.076923076923077,0.5454545454545454,3.3902439024390243,1.5121951219512195,32.36585365853659,23.821138211382117,-0.72
0-1,106,Queen's Pawn Opening,black,14,14,True,True,False,24,20,2.0,1.792207792207792,2.2857142857142856,2.6904761904761907,29.061904761904763,30.695238095238096,1.04
0-1,56,Alekhine's Defense,black,14,14,False,True,False,30,36,2.48,2.04,2.5,2.5090909090909093,33.00909090909091,33.80909090909091,1.07
1-0,25,Dunst Opening,white,9,9,True,False,False,18,4,0.5882352941176471,0.5555555555555556,3.2448979591836733,2.591836734693877,34.0,32.244897959183675,0.35
1-0,42,Reti Opening,white,7,7,True,True,True,8,12,0.4642857142857143,0.4642857142857143,3.325301204819277,2.1204819277108435,37.20481927710844,32.1566265060241,0.99
1-0,37,Benko's Opening,white,18,18,True,True,False,22,8,0.6666666666666666,0.653061224489796,2.616438356164384,2.835616438356164,31.575342465753423,33.97260273972603,0.34
1/2-1/2,104,Sicilian Defense,draw,20,20,True,True,False,24,26,1.0571428571428572,0.896551724137931,1.6504854368932038,2.184466019417476,26.5,25.33009708737864,-0.15
0-1,84,Benko's Opening,black,5,5,True,True,True,4,12,1.1666666666666663,1.0,1.427710843373494,2.4457831325301207,23.97590361445783,28.60843373493976,-0.06
1-0,54,Reti Opening,white,5,5,True,False,False,20,4,0.4411764705882353,1.6428571428571428,2.7009345794392523,2.3271028037383177,35.94392523364486,27.411214953271028,0.91
0-1,55,Benko's Opening,black,5,5,True,True,False,2,44,0.8771929824561404,1.3333333333333337,2.324074074074074,3.064814814814815,28.84259259259259,36.42592592592592,0.07
1/2-1/2,89,Bird's Opening,draw,10,10,True,True,False,16,26,0.6666666666666666,0.3174603174603174,1.75,2.522727272727273,24.051136363636363,23.994318181818183,0.16
0-1,43,Larsen's Opening,black,8,8,True,True,True,8,48,0.6052631578947368,0.8965517241379309,3.261904761904762,3.25,32.214285714285715,37.80952380952381,0.1
1/2-1/2,156,Benko's Opening,draw,10,10,False,False,False,10,20,0.4084507042253521,0.1916666666666666,1.5594855305466238,2.1864951768488745,17.887459807073956,27.524115755627008,-0.03
1-0,46,English Opening,white,7,7,True,True,False,22,8,0.2741935483870967,0.9411764705882354,2.89010989010989,2.2967032967032965,38.10989010989011,25.923076923076923,3.43
1-0,100,King' s Pawn Opening,white,8,8,True,True,True,30,8,2.4722222222222223,1.5405405405405403,2.251256281407035,1.7688442211055275,32.778894472361806,20.502512562814072,0.0
0-1,78,Dunst Opening,black,9,9,True,False,False,6,28,1.0526315789473686,0.5373134328358209,1.7987012987012987,3.142857142857143,22.61038961038961,32.18181818181818,-4.68
1/2-1/2,185,Larsen's Opening,draw,12,12,True,True,True,12,16,1.5714285714285716,0.5,1.4146341463414631,1.5392953929539297,18.498644986449865,23.016260162601625,-0.07
0-1,47,Dunst Opening,black,15,15,False,True,False,2,20,0.7708333333333334,0.7647058823529411,2.467391304347826,3.25,31.15217391304348,37.16304347826087,-0.33
0-1,52,Benko's Opening,black,17,17,True,False,False,10,18,0.6764705882352942,0.3461538461538462,2.215686274509804,3.323529411764706,32.372549019607845,38.24509803921568,-0.26
1-0,39,Queen's Pawn Opening,white,14,14,True,True,False,10,4,0.7115384615384616,0.7115384615384616,3.0259740259740258,2.571428571428572,38.25974025974026,35.38961038961039,0.72
1-0,33,Larsen's Opening,white,6,6,True,True,False,18,10,0.8055555555555555,0.6666666666666667,2.3846153846153846,3.630769230769231,34.04615384615385,35.90769230769231,-0.42
0-1,45,Dunst Opening,black,10,10,False,True,False,6,12,2.923076923076923,0.2,3.1704545454545454,2.386363636363636,36.05681818181818,33.76136363636363,0.61
1-0,58,English Opening,white,10,10,True,True,False,32,18,0.6410256410256411,0.8571428571428571,3.226086956521739,2.1739130434782608,35.91304347826087,26.991304347826087,0.38
0-1,114,Benko's Opening,black,9,9,True,True,False,20,28,1.2941176470588236,1.8035714285714288,2.1327433628318584,2.3008849557522124,23.42920353982301,30.81858407079646,0.05
0-1,75,Queen's Pawn Opening,black,15,15,False,True,False,18,42,1.8571428571428572,1.3125,2.304054054054054,2.5675675675675675,29.594594594594597,34.75,1.46
1-0,44,Larsen's Opening,white,16,16,True,True,True,26,6,3.642857142857143,0.3043478260869565,3.2988505747126435,2.9080459770114944,36.27586206896552,32.37931034482759,0.18
1-0,54,Larsen's Opening,white,5,5,False,True,False,22,12,0.6896551724137931,1.5675675675675678,2.803738317757009,2.093457943925233,29.46728971962617,26.785046728971963,-0.64
